name,behavior,time_500,time_1000,time_1500,time_2000
Sad horse, finisher, 10094.0281, 16146.9875, 20174.3124, 24199.9628
Sad horse, frontrunner, 3022.4046, 7061.107800000001, 12110.2029, 20174.3124
10, steady, 17148.9693, 32260.099299999998, 48418.2411, 65577.15560000001
10, sprinter, 4036.3056999999994, 7061.107800000001, 11101.2326, 14131.225999999999
10, finisher, 6050.3853, 10094.0281, 15138.051899999999, 19159.9218
10, frontrunner, 4036.3056999999994, 9081.372899999998, 15138.051899999999, 24199.9628
11, steady, 14131.225999999999, 26220.9308, 38326.733, 50437.4681
11, sprinter, 4036.3056999999994, 6050.3853, 9081.372899999998, 12110.2029
11, finisher, 6050.3853, 10094.0281, 13119.2636, 17148.9693
11, frontrunner, 5046.5315, 9081.372899999998, 14131.225999999999, 20174.3124
12, steady, 9081.372899999998, 17148.9693, 25209.0436, 32260.099299999998
12, sprinter, 5046.5315, 10094.0281, 14131.225999999999, 19159.9218
12, finisher, 6050.3853, 10094.0281, 13119.2636, 17148.9693
12, frontrunner, 3022.4046, 7061.107800000001, 10094.0281, 15138.051899999999
13, steady, 8070.993100000001, 15138.051899999999, 22183.230799999998, 29251.233
13, sprinter, 5046.5315, 8070.993100000001, 12110.2029, 16146.9875
13, finisher, 9081.372899999998, 15138.051899999999, 20174.3124, 29251.233
13, frontrunner, 4036.3056999999994, 9081.372899999998, 16146.9875, 26220.9308
14, steady, 12110.2029, 23191.2431, 34284.0794, 46397.1687
14, sprinter, 4036.3056999999994, 8070.993100000001, 10094.0281, 13119.2636
14, finisher, 11101.2326, 18155.9941, 23191.2431, 28243.1709
14, frontrunner, 6050.3853, 12110.2029, 21180.0778, 43371.2435
Thunder Dash, steady, 11101.2326, 20174.3124, 30253.3062, 39339.9396
Thunder Dash, sprinter, 10094.0281, 16146.9875, 21180.0778, 28243.1709
Thunder Dash, finisher, 8070.993100000001, 12110.2029, 16146.9875, 19159.9218
Thunder Dash, frontrunner, 3022.4046, 7061.107800000001, 12110.2029, 18155.9941
